,User,Date Created,Number of Likes,Source of Tweet,Tweet
104,FPL_Smoker,2022-12-19 09:47:57+00:00,1,Twitter Web App,Poetic Mr. Drury #GOAT𓃵 #WorldCup #Messi𓃵 #goatdebate #football
105,ankitsindhi,2022-12-19 09:26:11+00:00,1,Twitter Web App,"Unpopular opinion: Nowadays, people say ""GOAT"" when they mean ""WOW"", not ""Greatest Of All Time"".

#GOAT𓃵 #GOAT #goatdebate"
106,WoleFamurewa,2022-12-19 09:00:24+00:00,0,Twitter Web App,I know we should be celebrating #Messi and #Argentina for the world cup win but I couldn't help but share this clip of #Maradona. Congrats to Messi on a huge accomplishment but that #goatdebate remains settled in my mind.  https://t.co/SAJE8ieW31
107,h_nair_97,2022-12-19 08:36:54+00:00,1,Twitter for Android,"I pray for the souls of those toxic fans who are demeaning LM10 and his journey, his hardships, just so they can justify why CR7 couldn't win the FWC2022.
To me LM10 is The GOAT. Doesn't mean, I dont like CR7 or I should say all kinds of crap about him.
#goatdebate #FIFAWorldCup"
108,SourcasticGuyy,2022-12-19 08:31:31+00:00,0,Twitter for Android,"Cannot believe it took one tournament to settle a fucking 15 year old debate...
#FIFAWorldCup 
#goatdebate"
109,TeenerMurata,2022-12-19 08:03:12+00:00,0,Twitter for iPhone,I can’t believe I watched a 10 year debate end in 130mins 😂😂🐐 #goatdebate #FIFAWorldCup #CHECKMATE #ArgentinaVsFrance #Messi𓃵
110,dreamerbose,2022-12-19 07:48:45+00:00,2,Twitter for Android,@ESPNFC Beg to differ. How can 1 player be responsible for an entire team's performance?! #GOAT𓃵 #goatdebate #GOATDebateContinues
111,Kwikpic_in,2022-12-19 07:36:21+00:00,0,Twitter for Android,"Even our facial recognition technology can tell who's the real GOAT here!

#Messi𓃵 #ArgentinaVsFrance #WorldCupFinal #LionelMessi𓃵 #FIFAWorldCup #FIFAWorldCup2022Final #Messi10 #Messi𓃵day #MondayMotivation #CongratulationsArgentina #WorldChampions #goatdebate #GoldenBall https://t.co/6ekzRXlqaK"
112,PsychTea_,2022-12-19 06:24:54+00:00,1,Twitter for iPhone,The day after the WC final.. Happy Shaka Hislop day! #GOATdebate #espn https://t.co/JC8UYvpj21
113,GoodHealthComp2,2022-12-19 06:01:20+00:00,0,Twitter Web App,"What a historic night it was🙌🤩
From Mbappe's Hatrick goals to Messi lifting the world cup.
watching the game is like a rollercoaster ride for every football fan across the globe.
it's like the man vs the whole of Argentina

#goatdebate #Mbappe #Messi𓃵day https://t.co/j0JkBxANQf"
114,ImHiddenWarrior,2022-12-19 05:53:49+00:00,0,Twitter for Android,"Football is a team game, right? World Cup is not an individual award that makes a single player the GOAT.
The Ronaldo vs Messi debate will remain the same because they are both the BEST. 
#FIFAWorldCup #Ronaldo #Messi #GOAT𓃵 #goatdebate"
115,nadamutawa,2022-12-19 05:49:59+00:00,1,Twitter for iPhone,"رمز ال 🐐 تكرر في اغلب التصريحات بنتيجة المونديال و يشير  الى GOAT 
Greatest of All Time 
الفريق الاعظم خلال التاريخ
#GOAT𓃵 #goatdebate
#ثقافة #معلومة"
116,aceallenn,2022-12-19 05:43:19+00:00,0,Twitter for Android,"Stop the #goatdebate 
Both are the real OGs. #GOAT𓃵 #GOAT #FIFAWorldCup #FIFAInTheHouse #FIFAWorldCup2022 #FIFAWorldCup2022Final"
117,SportRadioAS1,2022-12-19 05:32:57+00:00,14,Twitter Web App,"Sporting Moment for the ages 👇

#FIFAWorldCup 
#Argentina 
#Messi𓃵 
#goatdebate 

https://t.co/mn5USeR8MQ"
118,Parbesh09,2022-12-19 04:43:01+00:00,0,Twitter for Android,"Argentina are still runners up with trophy real world champions are saaudi arabia!
#FIFAWorldCup #Argentina #Messi #goatdebate #ArgentinaVsFrance"
119,dzonsailo,2022-12-19 04:37:12+00:00,1,Twitter for Android,"*OFFICIAL*
The GOAT debate ends eternally
#GOAT𓃵 #goatdebate #FIFAWorldCup #ArgentinaVsFrance #WorldCupFinal #Messi𓃵 #Argentina https://t.co/neVl5tivlQ"
120,gvst4m,2022-12-19 04:27:13+00:00,0,Twitter for Mac,Sah Belom ?  #GOAT𓃵 #goatdebate #Messi𓃵day #FIFAWorldCup2022 https://t.co/aLkJliCx4M
121,iam_saumy,2022-12-19 04:16:20+00:00,0,Twitter for iPhone,"you’re 1 up but it aint settled just yet.
#goatdebate
#ArgentinaVsFrance 
#CristianoRonaldo🐐"
122,geology_journal,2022-12-19 04:10:14+00:00,5,Twitter Web App,"#Congratulations to all #Argentina and #Messi fans throughout the World.
Well played #France 
#messi #goatdebate LIONEL ANDRES MESSI .What a final https://t.co/Co3eJxv7r0"
123,Gvchypapi,2022-12-19 03:32:45+00:00,1,Twitter for iPhone,"Being a Ronaldo fan for more than 20 years, I can finally say that the debate is over ⛔️  Messi is the number 1 goat 🐐 

RONALDO AND MESSI HISTORY!

End of Ronaldo and Messi 🐐🐐
#FIFAWorldCup #WorldCupFinal #Messi #WorldCup #Qatar2022 #goatdebate #ronaldomessidebate"
124,PrudentHero,2022-12-19 02:53:07+00:00,0,Twitter for Mac,"“Greatest of all time” 
#GOAT𓃵 #goatdebate 

Who is it? 
He who conquered, shaped, and transcended …"
125,Bn7Pavan,2022-12-19 02:30:46+00:00,2,Twitter for Android,"Winner 🏆: ARGENTINA🇦🇷

@drtrustisin
#FIFAWorldCup          
#Giveaway
#DrTrust #Qatar2022          
#Messi #Mabappé #goatdebate

Join guys 
@likith_shaiva 
@Girishnayak1501 
@amulyam2001 
@DhanBah32272486 
@i_prashant21 
@Girishnayak1501 
@AkashGBhat3"
126,faztcheckmate,2022-12-19 01:30:54+00:00,0,Twitter for Android,"The #GOAT𓃵 receiving his crown. Even though the controversial #goatdebate was never in doubt, #GOATDebateisover. #VamosArgentina, #VamosMessi, #TheWorldGame salutes you lifting #TheWorldCup."
127,the_seekee,2022-12-18 23:45:30+00:00,2,Twitter for Android,"6 penalties in 7 games, the real goats 🐐 are referees 📢 #goatdebate  #ARGFRA"
128,Delorean861,2022-12-18 23:30:48+00:00,0,Twitter for Android,"#goatdebate, per me si riduce tutto ad una questione di valori e di quali ognuno di noi sceglie come fondamento del proprio essere. Prenderò in considerazione 4 giocatori: Pelé, Maradona, Messi e Ronaldo."
129,WokeConnoisseur,2022-12-18 22:46:11+00:00,1,Twitter for Android,"As of today below my all time top 5
1 - Messi
2 - Pele
3 - Cristiano Ronaldo
4 - Maradona
5 - Johan Cruyff

Than a gap where spot 6 till ? is open for debate
R9
Romario
Zidane
Ronaldinho
Mbappe
Gullit
v Basten
Maldini
Platini
Henry
Beckenbauer

#goatdebate
#GOATDebateisover #GOAT"
130,ACL_KneeSurgery,2022-12-18 22:34:56+00:00,3,Twitter Web App,The debate is over #GOAT #goatdebate @FCBarcelona @PSG_English https://t.co/ZZHx2dudb9
131,sol4x,2022-12-18 22:13:48+00:00,0,Twitter for Android,"#Messi𓃵 that's 
the
#tweet #goatdebate is done https://t.co/vcjFHoh47S"
132,real_troyAramni,2022-12-18 21:43:24+00:00,0,Twitter for Android,"Ronaldo self never even congratulate Messi....
Na wa oo 🤦🤦
#goatdebate #FIFAWorldCup"
133,muradov808,2022-12-18 21:42:32+00:00,1,Twitter for iPhone,End of debate…Messi&gt;Ronaldo #goatdebate https://t.co/xlZmBPpfAU
134,AbelMusuka,2022-12-18 20:54:04+00:00,23,Twitter for Android,My enemies are after me. Its gonna be a tough couple of days. This too shall pass. #goatdebate https://t.co/nOqQAH30c6
135,DarkMind_RN,2022-12-18 20:47:36+00:00,4,Twitter for Android,"As Peter Drury said ; 🗣️ “ it is Done ,Messi has completed football ”
I present to u ""THE GREATEST OF ALL TIME"" ; Lionel Messi ❤️😊❤️

#FIFAWorldCup #WorldCupFinal #Messi𓃵 #Messi #GOAT𓃵 #goatdebate #GOAT https://t.co/GKpenfM6HI"
136,Moze_keyz,2022-12-18 20:40:34+00:00,0,Twitter for Android,"Debate done
#goatdebate 
#Messi https://t.co/vgHIgbOO9Z"
137,hassaan9006,2022-12-18 20:38:24+00:00,0,Twitter for Android,"How many times we hv to tell u...?😂🤧
It's @Cristiano Ronaldo 4ever ❤️🫶🇵🇹🙇🙌🐐🐐🐐
#CR7𓃵 #FIFAWorldCup #cristiano #CristianoRonaldo #Ronaldo𓃵 #GOAT𓃵 #cristiano_ronaldo #debate #goatdebate #GOAT"
138,ImNiloyGhosh,2022-12-18 20:37:26+00:00,0,Twitter for Android,"This is how you c̶e̶l̶e̶b̶r̶a̶t̶e̶ smile behind of your rival! Life is too short to argue!
#GOAT𓃵 #GOAT #goatdebate is end! #Messi𓃵 #Messi #Messi𓃵day https://t.co/HzLC2trOgf"
139,frutfl,2022-12-18 20:29:38+00:00,3,Twitter for Android,"With all said and done the GOAT debate has ended.

#Messi𓃵 #FIFAWorldCup #GOAT𓃵 #lionelmessidestroys #goatdebate"
140,mcolumiko,2022-12-18 20:11:48+00:00,3,Twitter for Android,"I guess the #GOATdebate can be put to bed now that #Messi has won the world cup 🏆 ?. Cos if #Ronaldo had also won it would be same.
°°
Congrats!, 💐👏 to #Messi &amp; #Argentina for winning the #Qatarworldcup2022, but my own #MVP is #mbappe for shinning bright. #SportFancy #olumiko https://t.co/8G6KvQnnF7"
141,rijollba_tennis,2022-12-18 20:08:31+00:00,0,Twitter for Android,"GOATS for Venezuela debate:

Football: Juan Arango
Basketball: Carl Herrera
Baseball: Miguel Cabrera
Tennis: Nicolas Pereira
Summer Olympics: Yulimar Rojas
Winter Olympics: Adrian Solano?(https://t.co/olUSH2kLPk) 🤣

#GOAT𓃵 #goatdebate"
142,arthur_MKE,2022-12-18 20:06:46+00:00,0,Twitter for Android,"Salute to the GOAT
#Messi
#GOAT𓃵 
#FIFAWorldCupFinal 
#QatarWorldCup 
#goatdebate https://t.co/QJf1oqcAZd"
143,_J_Jasper,2022-12-18 19:37:47+00:00,1,Twitter for Android,"#Messi𓃵 on a million back
The little boy from #Rosario
Arguably one of the best
What a way to end it all
Congrats to #Argentina 🇦🇷

Is the #goatdebate over?
I don't know, This is Football

Bt for me #Ronaldo𓃵 is my #GOAT𓃵 🇵🇹
Peace  be onto you all ✌️☮️ https://t.co/seX17vQgOq"
144,robbo_23,2022-12-18 19:36:59+00:00,0,Twitter for iPhone,He’s completed football! #Messi𓃵 #messi #GOAT𓃵 #goatdebate #FIFAWorldCup
145,OdeyemiOladapo1,2022-12-18 19:29:52+00:00,0,Twitter for Android,"@_talha_talib #Messi𓃵 is the #GOAT .

No more #goatdebate"
146,bx_alee,2022-12-18 19:27:58+00:00,0,Twitter for Android,"The best there was, the best there is and the BEST there ever will be, LIONEL MESSI The Greatest Of All Time.
End of debate. #GOAT #goatdebate #FIFAWorldCup"
147,El_Majestique,2022-12-18 19:27:09+00:00,0,Twitter for Android,"2040 Me : Kids, here's the grave of the late great GOAT Debate. He made an attempt to fly from Portugal to Qatar but was messilessy shot down by Argentine guerrillas. French allies staged a last gasp attempt to help, but the rest is history 
#WorldCup2022 
#Messi𓃵 
#goatdebate https://t.co/U6H2BuZG82"
148,DevynOwenSmith,2022-12-18 19:25:49+00:00,0,Twitter for Android,Messi deixa Cr7 e sobe ao nível seguinte. Manipulada ou não todos acreditaram em Messi já os portugueses cuspiram em Ronaldo e o meteram no banco! #goatdebate
149,Sammiefidel,2022-12-18 19:23:34+00:00,0,Twitter for Android,The #GoatDebate is finally over... #LM10 LEO MESSI the greatest of all time
150,AbelMusuka,2022-12-18 19:16:22+00:00,52,Twitter for Android,My enemies are after me. Its gonna be a tough couple of days. This too shall pass. #goatdebate https://t.co/wtRCLT2IyH
151,KeshavPulickan,2022-12-18 19:14:31+00:00,1,Twitter for Android,"The greatest there is
The greatest there was
The greatest there ever will be

Lionel Messi - GOAT🔥
#LionelMessi𓃵 #GOAT #goatdebate https://t.co/HdDYiGjQ6m"
152,aminukofficial,2022-12-18 19:11:39+00:00,4,Twitter for Android,"The picture we all have been waiting to see as Messi and football fans. Football is complete today. Vamos Messi, Vamos AFA - Selección Argentina Leo Messi #GOAT #GOAT𓃵 #goatdebate THE GREATEST OF ALL TIME @Ieomessiok @afa https://t.co/aByTT69696"
153,GSBAINS1,2022-12-18 19:08:56+00:00,2,Twitter for Android,"The most iconic photo from this World Cup 😎

#ARGFRA #WorldCupFinals #Qatar #ArgentinaVsFrance #Messi𓃵 #Argentina #goatdebate https://t.co/27dORWY4zQ"
154,irebamisoyinka,2022-12-18 19:07:17+00:00,0,Twitter for Android,"Ronaldo @Cristiano , you should issue an official congratulatory message to Lionel Messi within the next 24hours. 
Respect him so you can have peace. 😂👏 
#GOAT #goatdebate
In the meantime, thanks to the Government of Qatar for a beautiful hosting of #Qatar2022 #FIFAWorldCup https://t.co/IZmAYqtXK8"
155,AuxyBee,2022-12-18 19:03:12+00:00,0,Twitter for Android,The #goatdebate is over ...The gods of soccer have anointed Leo Messi their #GOAT in this #Qatar2022 #WorldCup https://t.co/qjYH05FipE
156,HeisAkinwunmi,2022-12-18 18:58:05+00:00,0,Twitter for iPhone,"That was the most intense 120mins of my life. 

OMG!!!
#ArgentinaVsFrance #goatdebate over"
157,CalMcKenna1,2022-12-18 18:56:36+00:00,1,Twitter for iPhone,I guess the #GOAT debate is over then… Harry Brook is better than Sachin #Messi #Ronaldo #goatdebate #PAKvENG #NZvINDonPrime
158,daniwalkergh,2022-12-18 18:53:42+00:00,1,Twitter for iPhone,"The Greatest of All Time shouldn’t be debatable. The reason being that the consistency and longevity of both Ronaldo and Messi is incredible.
Both players are “GOAT”.
#GOAT𓃵 #Ronaldo𓃵 #Messi𓃵 #goatdebate #FootballHistory #WorldGreatestfootballers #MESSIRONALDO #history"
159,cadepetu,2022-12-18 18:53:26+00:00,0,Twitter for iPhone,"‘Better’ does not invalidate the quality or goodness in ‘Good’. It only differentiates one from the other. With or without winning the WC, Messi is a better player. #goatdebate"
160,Joshuaan13,2022-12-18 18:49:33+00:00,0,Twitter for iPhone,"On the plus side for #Ronaldo fans, there is no doubt now that he’s the best player never to win a world cup 🤷🏻‍♂️ #goatdebate"
161,Eastern_parrot,2022-12-18 18:39:35+00:00,0,Twitter for Android,"Just know it that Ronaldo's fans are not happy. How would they continue the GOAT debate? Even you as a Messi fan, interchange Portugal with Argentina and imagine the feeling. #GOATdebate
#Messi𓃵 #ShortsFIFAWorldCup #FIFAWorldCup #ARGFRA #BudweiserWorldCup #WorldCupFinal"
162,Eastern_parrot,2022-12-18 18:35:14+00:00,4,Twitter for Android,"@433 Just know it that Ronaldo's fans are not happy. How would they continue the GOAT debate? Even you as a Messi fan, interchange Portugal with Argentina and imagine the feeling. #GOATdebate"
163,8pack2themax,2022-12-18 18:14:14+00:00,0,Twitter Web App,I love @Cristiano elite player - but #Messi has settled the #GOATDebate #GOAT
164,munyashm,2022-12-18 18:12:27+00:00,0,Twitter for Android,"As a Cristiano fan...

Messi winning The World Cup complicates things

#GoatDebate

🤷🏾‍♂️"
165,JojoKemz,2022-12-18 18:12:24+00:00,1,Twitter for Android,#goatdebate🐐 Z done😋
166,skillschampion2,2022-12-18 18:08:13+00:00,0,Twitter for Android,"Anyone checked on the fake Ronaldo? See if he's ok?!?

#goatdebate"
167,rnjeetpatra,2022-12-18 18:07:08+00:00,0,Twitter for Android,"Here is the end of the #Goatdebate!
The real #GOAT is #Messi𓃵 .

#ARGvFRA 
#Argentina 
#FIFAWorldCup https://t.co/7tDqBIKszM"
168,EliKpodo,2022-12-18 18:02:42+00:00,0,Twitter for iPhone,"The #GOATdebate is over! What a final it’s been. #Mbappe𓃵 showed class but #Messi𓃵 was just destined to crown his final moment in football history. 

#Messi𓃵 magic! 
# https://t.co/eXznuOJgV7"
169,GameFlame__,2022-12-18 18:01:03+00:00,0,Twitter for Android,"Well done Argentina, wish I had written down my prediction but I only said it unfortunately to my family. #FIFAWorldCup    #ARGFRA #WorldCup #WorldCupFinal #goatdebate"
170,IshamMarikar,2022-12-18 17:44:53+00:00,3,Twitter for iPhone,Can we get @KMbappe into the #GOATDebate #ThankYouQatar #ThanksQatar #WorldCup #FIFAWorldCup2022
171,AyoShonaiya,2022-12-18 16:46:30+00:00,10,Twitter for iPhone,“Incoming Goat” Mbappe scores 2 goals. Ronaldo fans all around the world go crazy!!! It’s not over till it’s over. #GoatDebate
172,Mattstfc91,2022-12-18 15:57:43+00:00,0,Twitter for Android,45 mins away from having to admit I was wrong #goatdebate
173,manutd56753206,2022-12-18 12:22:06+00:00,0,Twitter for Android,"My heart is racing for this final man😌🥴. God you know how much this final means to Leo, please give this WC trophy to him, Amen🙏😇, Vamos Argentina #FIFAWorldCup #ArgentinaVsFrance #WorldCup #Messi𓃵 #Messi #GOAT𓃵 #GOATDebate"
174,libertygucci,2022-12-17 11:29:34+00:00,0,Twitter for iPhone,"@ChampionsLeague I really wish the best for both  
If messi wins I’ll happy 
If mbappe wins I’ll be happy 
 If Neymar had a chance to win I’d be happy too
But I’m very happy that RONALDO didn’t make it !

#GOAT #LOVESPEECH #GOATDEBATE"
175,EbukaDivine4,2022-12-16 06:20:16+00:00,1,Twitter for iPhone,"He has left a mark everywhere, something that no player in history is proud to say . 🐐 he is the greatest of all time . #Ronaldo𓃵 #GOAT𓃵 #Ronaldofan #footballdebate #Goatdebate #Messi𓃵 #messifans https://t.co/IAwJvlo0Dy"
176,Tom83491351,2022-12-15 11:54:44+00:00,0,Twitter for iPhone,"I think the goat 🐐 debate is finally over, Messi has to be the one 

No one else I’d wake up at 2am to watch knowing they’re going to do something special

If it wasn’t Messi in the final on Sunday I wouldn’t even be watching it 

#goat #messi #ronaldo #goatdebate #workdcup"
177,scghancock,2022-12-15 07:30:17+00:00,0,Twitter for Android,"@piersmorgan has a hard on for @Cristiano. The #goatdebate never did exist.#messi has done things never seen before. Ronald just scores a tap in and loses his shit when he doesn't get to play (cause he's shit). There is only one Ronaldo #R9 
Just stfu with your boner"
178,RajveerKabra,2022-12-15 05:10:57+00:00,0,Twitter for Android,"'an ALIEN'.
#CristianovsMessi
#GOATdebate 
@Cristiano 
@ESPNFC 
@piersmorgan 
#Ronaldo𓃵
#Messi𓃵"
179,HectorM23UAM,2022-12-14 18:20:47+00:00,0,Twitter Web App,"@JuniorFirpo03 El GOAT no existe, sólo el #GOATDebate donde muy pocos pueden entrar y Messi estará siempre, con o sin la Copa del Mundo. ✌️"
180,JulianCarax84,2022-12-14 13:46:32+00:00,7,Twitter Web App,"A parlar per decenni, senza scomodare le epoche che non ho vissuto, il #GoatDebate calcistico si risolve così per me:
'80: #Maradona
'90: #Ronaldo 
'00: #Zidane
'10: #Messi

Tra chi non ho visto, aggiungerei Di Stefano, Pelè e Cruyff."
181,JulianCarax84,2022-12-14 13:38:42+00:00,10,Twitter Web App,"Il #GoatDebate resta per me una gran sega mentale, anche nel calcio.
Detto questo, per qualità, quantità e continuità in un lasso di tempo gigantesco, ha senso definire #Messi tale
Ammesso che Maradona sia ""oltre"" in questa classifica, in quanto icona iscindibile dalla sua epopea https://t.co/D89KicJjPM"
182,DalyDoran,2022-12-14 12:33:28+00:00,4,Twitter for iPhone,Another good shout probably the most underrated game reader …. #goatdebate https://t.co/6Uf9VT4zpN
183,Mkuruzenzi,2022-12-14 08:58:53+00:00,19,Twitter for Android,"Messi is GOOD but Ronaldo is the BEST.

#GOATDebate"
184,BontasBoykie,2022-12-14 05:13:44+00:00,5,Twitter for iPhone,Maradona is still MY GOAT 🐐 with Pele a close second and Messi now all alone in 3rd spot 🤷🏽‍♂️🫶🏽⚽️ #GoatDebate
185,jcamps101,2022-12-13 23:56:11+00:00,0,Twitter Web App,"I'm not sayin he's the goat 🐐 but I'm certainly not entertaining any ""CR7 is better than Messi"" talk EVER AGAIN!!..FROM ANYBODY!!! #goatdebate #WorldCup2022"
186,sipho_93,2022-12-13 21:47:27+00:00,0,Twitter for Android,"Why do we still have the #GoatDebate????...#ArgentinaVsCroatia 
#ARGCRO 
#Messi𓃵"
187,BradleyCarl250,2022-12-13 21:27:31+00:00,32,Twitter for Android,The #GOATDEBATE will be over soon.
188,LBremb11,2022-12-13 21:20:40+00:00,1,Twitter for Android,"È assurdo sminuire anche solo uno dei 2.

#GOATdebate #Messi #CR7 #FIFAWorldCup #Qatar2022 #ARGCRO"
189,Officialtg88,2022-12-13 16:53:02+00:00,0,Twitter for iPhone,"Let’s take away rings, that’s a team accomplishment . Body of work on the court, best BASKETBALL player? Defend your pick #nba #nbadebate #goatdebate"
190,AceNova_,2022-12-13 06:02:55+00:00,0,Twitter for iPhone,@pinche_nikki Who is the real goat Nikki ? #GoatDebate #JustAKidFromAkron
191,plurguy96,2022-12-12 00:36:06+00:00,2,Twitter for iPhone,All I gotta say is bill belichick never lost to a dude named “Brock” #goatdebate
192,thehoopery,2022-12-05 20:45:32+00:00,1,Instagram,"He on that Zaza 💨 or he speaking truth ? 👀Let’s talk 🗣️⬇️ #thehoopery 
•
•

#nbahighlights #nbamemes #streetwear  #hoopers #hardwoodclassic #retronba #vintagenba #goatdebate https://t.co/QI8GdE9eVG"
193,Neroneinner,2022-12-03 21:45:33+00:00,0,Twitter for Android,"Argentina v Portugal finals will settle the debate,once and  for all...
#Goatdebate"
194,Sportswithseb,2022-12-01 22:38:16+00:00,1,Twitter for iPhone,"Who is your NBA GOAT 🐐?
#sportswithseb #nba #goatdebate #mj #lebron #kobe https://t.co/rabmovGQRJ"
195,Tucci264,2022-12-01 09:35:42+00:00,2,Twitter for Android,"7 &gt; 10 🐐
#goatdebate"
196,moonbyelle,2022-11-28 14:11:26+00:00,1,Twitter for Android,depois do jogo de hoje vlahovic acaba de empatar com o número de gols em copas do haaland e ja se aproxima do lewandowski! #goatdebate
197,NBAFANVN,2022-11-27 02:58:35+00:00,1,Twitter for iPhone,I don’t want this to be as compelling as it sounds… somebody pls persuade me otherwise😩 #islbjthegoat #goatdebate https://t.co/hYlLstkQy2
198,stefandelkovic,2022-11-23 16:02:04+00:00,2,Twitter for iPhone,"Also here would need to add the percentages against each other + vs top 10 players. And how many GS appearances + how many disqualifications and not allowed to play to those. 

#atp #GOATdebate #GOAT #tennis #djokovic #nadal #roger"
199,GoHsT107,2022-11-22 16:58:15+00:00,2,Twitter for iPhone,"Messi don too collect for this app. May God spare our lives to see Thursday 😂😂😂 🐐🐐
#goatdebate"
200,highmusings718,2022-11-19 22:42:31+00:00,0,Twitter for iPhone,@KDTrey5 save LeBron. please. lol #GOATdebate #CloseTheGame
201,freakaleak1209,2022-11-19 02:12:34+00:00,1,Twitter Web App,Steph Curry is one ring away from being greater than Lebron James all time #NBA #GOATDebate
202,EndofExpertise,2022-11-18 02:58:23+00:00,0,Twitter for iPhone,"Aaron Rodgers can’t be the GOAT, with only 1 super bowl, but damn it no one throws a better prettier ball in the history of the NFL #NFL #tnf #TNFonPrime #PackersNation #GOAT #goatdebate"
203,FotbollAll,2022-11-14 20:43:58+00:00,0,Twitter for iPhone,A final between Portugal and Argentina is what everybody is rooting for. A perfect ending of Messi and Ronaldos careers. #WorldCup2022 #GoatDebate
204,HumphreyOsquare,2022-11-14 10:29:00+00:00,0,Twitter for Android,"@ChampionsLeague For the Debate to end by next year......
I would be backing #LionelMessi 
#GoatDebate
#Messi𓃵 
#CR7"
205,TheCaseForkobe1,2022-11-13 23:50:04+00:00,0,Twitter for Android,"Let me help you #lebron fans that think Shaq carried #KobeBryant
Part 1
#lakers
#GOAT𓃵
#goatdebate
#nba
https://t.co/JunOqZTjbF"
206,LoveNBAcom,2022-11-04 20:49:02+00:00,0,love.nba,"NBA stats are LIES  🏀  Tr ...
 
https://t.co/8on9YfzZDF
 
#AtlanticDivision #BasketballDocumentary #CadeCunningham #DemarDeRozan #EasternConference #GOATDebate #JordanLeBron #KevinDurant #KOBEBRYANT #LebronJames #MICHAELJORDAN #NbaHistory #NBALies #NBAMyths #NewYorkKnicks https://t.co/wkyVRzPtFx"
207,01_jay2,2022-11-03 16:19:12+00:00,0,Twitter for iPhone,"@ESPNFC He should come to the EPL. If he is really the GREAT player they loud him to be; he should go to #Arsenal and win them the #Treble (#Ucl, #premierleague &amp; #leagueCup). It shouldn’t be so hard for him since he is the so called GOAT in Football. #Messi #EPL #GOATDebate #ProveIt"
208,HumphreyOsquare,2022-10-31 22:02:06+00:00,0,Twitter for Android,"@utdreprot And the yardstick would be Ronaldo did it in several league and #Messi𓃵 can't.
Statistics has shown that in all ramifications of the game Leo is a better player.
I wonder how someone who scores Tap-ins is better than a complete footballer
#GoatDebate
#Messi𓃵 
#CR7"
209,OverTheTopCG,2022-10-30 11:04:43+00:00,0,Twitter for Android,Hot @NBA take. If Jordan was on this @Lakers team right now instead of @KingJames they'd still have 0 wins. #nba #goatdebate
210,manugrk,2022-10-24 21:15:33+00:00,1,Twitter Web App,@Vision31128666 trash fun fact #goatdebate #erectthenshag #EthOUT #NFTGiveaways
211,SirPrimeth,2022-10-24 17:31:22+00:00,0,Twitter for iPhone,"WHY LEBRON IS NOT THE 🐐 PART 2 
#goatdebate #nba #lebronormj #controversy #Discussion #ktkounty https://t.co/t5fvKejRUZ"
212,SirPrimeth,2022-10-24 01:58:06+00:00,0,Twitter for iPhone,"WHY LEBRON IS NOT THE GOAT PART 1 
#ktkounty #goatdebate #discussion #NBA #lebronormj https://t.co/TVTifc3K4o"
213,ReggieMHarris7,2022-10-21 11:45:38+00:00,2,Twitter for iPhone,@TomBrady Is the 🐐 goat at QB.  But this is the Goat 🐐 of football players overall is @JerryRice ! @goatfuel is named appropriately for its founder!!! @49ers @NFL  #legend #niners #ninersfaithful #ninergang #ninernation #espn #goat #goatdebate #jerryrice #halloffame https://t.co/h1oURPmnjf
214,TheRealMemgio,2022-10-18 15:23:29+00:00,0,Twitter for Mac,"We do not know IF and WHEN we will see a ""G.O.A.T. debate"" that is at least comparable to what these two aliens have carried on for a whole generation.

Qatar 2022, LET'S ENJOY THEIR LAST DANCE.

#WC2022 #Messi #Ronaldo #Qatar #GOATdebate"
215,PlugTalkSports1,2022-10-18 13:55:43+00:00,1,Twitter for iPhone,"The Miami-Dade College Women’s basketball team kicks off their 2022 campaign tonight.

We had fun asking them who’s the goat 🐐? LeBron or Jordan #LeBronJames #MichaelJordan #GoatDebate https://t.co/QsZDWLc2q2"
216,ReedsSpringHS,2022-10-12 22:16:49+00:00,7,Twitter Web App,"Comp I English students are blending narrative, expository, and argument into their essay writing. This group, in a court-like setting, settles the Michael Jordan Vs. Lebron debate to show off their new writing knowledge. #GoatDebate #WordyWednesday

https://t.co/i4F8PVNTxm"
217,freakaleak1209,2022-10-12 03:47:20+00:00,0,Twitter Web App,"Lebron is 19/104 from the field, 7/54 from 3 with 5 or less seconds left on the clock of a one score or tie game #NBA #GOATDebate"
218,Nicks592,2022-10-08 15:01:04+00:00,0,Twitter for iPhone,Is Mbappe and Haaland the new Ronaldo and Messi Debate ? #GOATdebate
219,LFC_Klopp_Salah,2022-10-06 18:48:26+00:00,173,Twitter for iPhone,"Football won this week
#GOATDebate https://t.co/BIe87EexJH"
220,stefanederoger,2022-10-05 17:02:28+00:00,1,Twitter Web App,"After Roger's retirement and this incredible journey watching almost every RF match and sharing the happiness, or sadness with you guys since '12, maybe my last tweet!
Seems like the famous #goatdebate between RF, RN, and ND doesn t make any more sense. 
But technicaly speaking,"
